sujeto,Time_s,RF,BF,VM,ST,FX
1Nmar,0.043,0.0007,-0.0023,-0.0083,0.0585,47.8
1Nmar,0.044,-0.003,-0.0053,-0.0053,0.0277,47.5
1Nmar,0.045,-0.0053,-0.0083,-0.0015,0.0045,47.2
1Nmar,0.046,-0.006,-0.0053,0.0007,-0.0046,46.9
1Nmar,0.047,-0.0053,-0.0083,0.003,0.0015,46.6
1Nmar,0.048,-0.0046,-0.012,0.006,-0.0015,46.3
1Nmar,0.049,-0.003,-0.015,-0.0038,-0.0038,45.9
1Nmar,0.05,0.0022,-0.0128,-0.0173,-0.0083,45.6
1Nmar,0.051,0.0022,-0.0068,-0.0053,-0.0053,45.4
1Nmar,0.052,-0.0046,-0.012,0.0195,0.0052,45.0
1Nmar,0.053,-0.0105,-0.0105,0.0262,0.0015,44.7
1Nmar,0.054,-0.0105,-0.0068,0.0247,-0.0053,44.4
1Nmar,0.055,-0.0083,-0.006,0.021,-0.0046,44.1
1Nmar,0.056,-0.0083,-0.003,0.0202,-0.0023,43.8
1Nmar,0.057,-0.0083,-0.003,0.0202,-0.0046,43.5
1Nmar,0.058,-0.0075,-0.0015,0.0195,-0.0075,43.2
1Nmar,0.059,-0.0091,-0.0008,0.0232,-0.0098,42.9
1Nmar,0.06,-0.0091,-0.0008,0.0255,-0.0135,42.6
1Nmar,0.061,-0.0083,0.0015,0.0195,-0.024,42.3
1Nmar,0.062,-0.0046,0.0067,0.0105,-0.0293,41.9
1Nmar,0.063,-0.003,0.0097,0.009,-0.0143,41.5
1Nmar,0.064,-0.0008,0.0075,0.0007,0.0,41.2
1Nmar,0.065,0.0007,0.0045,-0.003,0.006,40.8
1Nmar,0.066,-0.0046,0.006,-0.0068,0.0082,40.4
1Nmar,0.067,-0.012,0.0037,-0.015,0.0105,40.0
1Nmar,0.068,-0.0143,-0.0046,-0.0195,0.0067,39.7
1Nmar,0.069,-0.0075,-0.0113,-0.0285,-0.0075,39.3
1Nmar,0.07,-0.0046,-0.0105,-0.033,-0.0113,39.0
1Nmar,0.071,0.0,-0.0046,-0.0293,-0.0068,38.6
1Nmar,0.072,0.0045,0.0007,-0.024,-0.0015,38.2
1Nmar,0.073,0.0067,0.0,-0.0225,0.003,37.9
1Nmar,0.074,0.0052,-0.0023,-0.0233,-0.0008,37.5
1Nmar,0.075,0.0037,-0.0015,-0.0203,-0.0053,37.1
1Nmar,0.076,0.006,-0.0008,-0.0128,-0.0023,36.8
1Nmar,0.077,0.0075,0.0007,-0.0008,-0.0046,36.4
1Nmar,0.078,0.0127,0.003,0.0142,-0.0113,36.0
1Nmar,0.079,0.0127,0.0015,0.0225,-0.015,35.7
1Nmar,0.08,0.0127,0.0015,0.0232,-0.0143,35.3
1Nmar,0.081,0.0157,-0.0008,0.0187,-0.0098,35.0
1Nmar,0.082,0.0195,-0.0015,0.0187,-0.0023,34.6
1Nmar,0.083,0.0232,0.0007,0.024,-0.0015,34.2
1Nmar,0.084,0.0247,0.0067,0.0307,-0.0053,33.8
1Nmar,0.085,0.024,0.0067,0.03,-0.0068,33.4
1Nmar,0.086,0.0157,0.003,0.0142,-0.0015,33.1
1Nmar,0.087,0.0045,0.0037,0.0022,-0.006,32.7
1Nmar,0.088,-0.0023,0.0067,-0.0023,-0.0361,32.4
1Nmar,0.089,-0.0075,0.0082,-0.0091,-0.0691,31.9
1Nmar,0.09,-0.0158,0.003,-0.0128,-0.0773,31.6
1Nmar,0.091,-0.0195,0.0007,-0.0188,-0.054,31.2
1Nmar,0.092,-0.0181,0.0015,-0.021,0.0022,30.8
1Nmar,0.093,-0.0165,-0.003,-0.0195,0.0585,30.5
1Nmar,0.094,-0.0128,-0.0053,-0.0225,0.0832,30.1
1Nmar,0.095,-0.0075,-0.0083,-0.0181,0.0795,29.7
1Nmar,0.096,-0.0053,-0.012,-0.0091,0.0592,29.3
1Nmar,0.097,-0.0046,-0.012,0.0037,0.0262,29.0
1Nmar,0.098,-0.0038,-0.012,0.0052,-0.0083,28.6
1Nmar,0.099,0.003,-0.0053,-0.0105,-0.0233,28.2
1Nmar,0.1,0.0045,0.003,-0.0091,-0.021,27.8
1Nmar,0.101,-0.0015,0.003,0.0007,-0.0113,27.4
1Nmar,0.102,-0.0023,0.0052,0.0007,0.0045,27.1
1Nmar,0.103,-0.0015,0.0022,-0.0091,0.0195,26.7
1Nmar,0.104,0.0,-0.006,-0.0165,0.0202,26.3
1Nmar,0.105,0.0045,-0.006,-0.0143,0.0007,25.9
1Nmar,0.106,0.0075,-0.0046,-0.0046,-0.0143,25.6
1Nmar,0.107,0.0052,-0.003,0.0045,-0.012,25.2
1Nmar,0.108,0.0022,-0.0015,0.0105,-0.0068,24.8
1Nmar,0.109,0.0007,0.0007,0.0165,0.003,24.4
1Nmar,0.11,-0.0008,0.0037,0.0285,0.0127,24.0
1Nmar,0.111,-0.0083,-0.0015,0.0427,0.012,23.6
1Nmar,0.112,-0.0188,-0.003,0.0442,0.0112,23.2
1Nmar,0.113,-0.015,0.0007,0.0367,0.009,22.9
1Nmar,0.114,-0.0098,-0.0008,0.0217,0.0082,22.5
1Nmar,0.115,-0.0075,-0.0015,0.003,0.0015,22.1
1Nmar,0.116,-0.0046,-0.0046,-0.0068,-0.0008,21.7
1Nmar,0.117,-0.0015,-0.0075,-0.0083,0.0,21.3
1Nmar,0.118,-0.0046,-0.0091,0.0015,-0.0046,20.9
1Nmar,0.119,-0.0128,-0.0105,0.0127,-0.0053,20.6
1Nmar,0.12,-0.0038,-0.0068,0.0232,-0.006,20.1
1Nmar,0.121,0.012,-0.0038,0.027,-0.003,19.8
1Nmar,0.122,0.0172,-0.0046,0.0195,0.0007,19.4
1Nmar,0.123,0.0195,-0.0023,0.015,0.003,19.1
1Nmar,0.124,0.0202,0.003,0.009,0.003,18.7
1Nmar,0.125,0.0142,0.0067,0.0045,-0.0015,18.3
1Nmar,0.126,0.006,0.0067,0.0067,-0.0068,18.0
1Nmar,0.127,-0.0053,0.0067,0.012,-0.0128,17.6
1Nmar,0.128,-0.0128,0.0082,0.009,-0.0218,17.2
1Nmar,0.129,-0.0188,0.012,0.009,-0.0293,16.9
1Nmar,0.13,-0.0188,0.0135,0.0067,-0.0218,16.5
1Nmar,0.131,-0.0091,0.0127,0.0052,-0.006,16.2
1Nmar,0.132,-0.0053,0.0075,0.0037,0.0112,15.8
1Nmar,0.133,-0.0008,0.0022,-0.003,0.0292,15.4
1Nmar,0.134,0.003,-0.003,-0.0008,0.0457,15.1
1Nmar,0.135,0.0037,-0.0105,-0.0046,0.0495,14.7
1Nmar,0.136,0.0082,-0.0158,-0.0083,0.0292,14.3
1Nmar,0.137,0.0142,-0.024,-0.003,0.0082,13.9
1Nmar,0.138,0.0157,-0.0233,-0.0008,0.003,13.6
1Nmar,0.139,0.0105,-0.0091,-0.0015,0.0015,13.2
1Nmar,0.14,0.0052,-0.0023,-0.0083,-0.0008,12.8
1Nmar,0.141,0.0007,0.0037,-0.0075,0.0037,12.6
1Nmar,0.142,-0.0075,0.0082,-0.0158,0.0037,12.3
1Nmar,0.143,-0.0165,0.0082,-0.0233,-0.0015,12.1
1Nmar,0.144,-0.0143,0.0097,-0.0181,-0.0046,11.8
1Nmar,0.145,-0.0113,0.009,-0.0203,-0.0068,11.5
1Nmar,0.146,-0.012,0.0082,-0.0181,-0.0075,11.2
1Nmar,0.147,-0.012,0.0052,-0.0091,-0.0083,11.0
1Nmar,0.148,-0.0091,0.0007,-0.0008,-0.0105,10.7
1Nmar,0.149,-0.0008,-0.0008,0.0067,-0.0046,10.4
1Nmar,0.15,0.0142,0.0015,0.0075,-0.003,10.2
1Nmar,0.151,0.0285,0.0045,0.0045,-0.003,9.9
1Nmar,0.152,0.0352,0.0075,-0.003,0.0015,9.6
1Nmar,0.153,0.039,0.009,-0.0091,0.006,9.4
1Nmar,0.154,0.045,0.009,-0.0218,0.0082,9.1
1Nmar,0.155,0.0465,0.0097,-0.0465,0.0015,8.8
1Nmar,0.156,0.0427,0.0112,-0.0743,-0.0068,8.5
1Nmar,0.157,0.039,0.0082,-0.084,-0.0098,8.3
1Nmar,0.158,0.0315,0.0067,-0.0623,-0.0068,8.0
1Nmar,0.159,0.0067,0.003,-0.012,-0.0083,7.7
1Nmar,0.16,-0.0158,-0.0015,0.024,-0.021,7.4
1Nmar,0.161,-0.03,-0.0023,0.036,-0.0218,7.4
1Nmar,0.162,-0.042,-0.0068,0.0495,-0.0105,7.3
1Nmar,0.163,-0.0503,-0.006,0.0562,0.0052,7.2
1Nmar,0.164,-0.0585,-0.0068,0.0667,0.027,7.1
1Nmar,0.165,-0.06,-0.012,0.063,0.033,7.0
1Nmar,0.166,-0.0465,-0.012,0.054,0.021,6.9
1Nmar,0.167,-0.0308,-0.0098,0.039,0.0075,6.8
1Nmar,0.168,-0.015,-0.003,0.0202,0.0,6.7
1Nmar,0.169,-0.0091,0.0015,0.0045,0.003,6.7
1Nmar,0.17,-0.0091,0.0052,-0.024,0.0105,6.6
1Nmar,0.171,-0.0091,0.006,-0.0233,0.009,6.5
1Nmar,0.172,-0.0083,0.0007,-0.0083,0.0067,6.4
1Nmar,0.173,-0.0023,-0.003,0.0022,0.0142,6.3
1Nmar,0.174,-0.006,-0.006,0.009,0.0127,6.3
1Nmar,0.175,-0.0091,-0.0068,0.0045,0.0007,6.2
1Nmar,0.176,-0.003,-0.0038,0.0052,-0.0105,6.1
1Nmar,0.177,0.0067,-0.0068,0.0127,-0.0218,6.0
1Nmar,0.178,0.0127,-0.0128,0.0202,-0.0203,5.9
1Nmar,0.179,0.0142,-0.012,0.0217,-0.0195,5.8
1Nmar,0.18,0.0082,-0.0173,0.0157,-0.0218,5.7
1Nmar,0.181,-0.0091,-0.0278,0.021,-0.003,5.7
1Nmar,0.182,-0.021,-0.0405,0.0352,0.0172,5.7
1Nmar,0.183,-0.0256,-0.057,0.0405,0.0292,5.7
1Nmar,0.184,-0.0256,-0.063,0.0502,0.039,5.7
1Nmar,0.185,-0.0143,-0.0495,0.0427,0.0382,5.7
1Nmar,0.186,0.0007,-0.0181,-0.003,0.0217,5.7
1Nmar,0.187,0.0165,0.0067,-0.054,0.0052,5.7
1Nmar,0.188,0.009,0.006,-0.042,0.006,5.7
1Nmar,0.189,-0.0135,0.0045,-0.0113,0.003,5.7
1Nmar,0.19,-0.012,0.0255,-0.0053,-0.0053,5.7
1Nmar,0.191,-0.0105,0.0592,0.0105,-0.0083,5.7
1Nmar,0.192,-0.0053,0.075,0.0045,-0.0135,5.7
1Nmar,0.193,0.0157,0.054,-0.003,-0.0135,5.7
1Nmar,0.194,0.0427,0.0435,-0.0218,-0.0098,5.7
1Nmar,0.195,0.0787,0.0502,-0.0278,-0.0015,5.7
1Nmar,0.196,0.108,0.0585,-0.0195,0.0052,5.7
1Nmar,0.197,0.1065,0.06,-0.0278,0.0052,5.7
1Nmar,0.198,0.078,0.0315,-0.0165,-0.0023,5.7
1Nmar,0.199,0.0465,0.0052,-0.0165,-0.0158,5.7
1Nmar,0.2,0.0142,-0.0128,-0.0105,-0.027,5.7
1Nmar,0.201,-0.0158,-0.0263,-0.0105,-0.0308,5.7
1Nmar,0.202,-0.0548,-0.0278,-0.0165,-0.0263,5.8
1Nmar,0.203,-0.0698,-0.024,-0.0165,-0.0203,5.8
1Nmar,0.204,-0.0495,-0.0083,-0.0203,-0.0135,5.8
1Nmar,0.205,-0.0323,0.0045,-0.024,-0.0068,5.8
1Nmar,0.206,-0.0068,0.0165,-0.0285,-0.003,5.8
1Nmar,0.207,0.0045,0.009,-0.0195,-0.003,5.8
1Nmar,0.208,0.0135,-0.0068,-0.0143,-0.0046,5.8
1Nmar,0.209,0.0285,-0.0053,-0.0128,-0.003,5.8
1Nmar,0.21,0.0292,-0.012,-0.0023,-0.0038,5.8
1Nmar,0.211,0.0255,-0.0128,0.006,-0.0135,5.8
1Nmar,0.212,0.0232,-0.0053,0.0052,-0.0285,5.9
1Nmar,0.213,0.021,0.0,0.0,-0.0428,5.9
1Nmar,0.214,0.0202,0.0067,-0.0105,-0.0413,5.9
1Nmar,0.215,0.0195,0.0037,-0.027,-0.0338,5.9
1Nmar,0.216,0.012,0.0067,-0.045,-0.024,5.9
1Nmar,0.217,0.0015,0.0112,-0.0533,0.0142,5.9
1Nmar,0.218,-0.0075,0.0052,-0.0473,0.051,5.9
1Nmar,0.219,-0.0128,-0.0053,-0.0368,0.0652,6.0
1Nmar,0.22,-0.0203,-0.0165,-0.0188,0.0757,6.0
1Nmar,0.221,-0.024,-0.0203,-0.0075,0.0712,6.0
1Nmar,0.222,-0.0256,-0.027,0.0052,0.0487,6.1
1Nmar,0.223,-0.027,-0.0346,0.0232,0.0232,6.1
1Nmar,0.224,-0.0248,-0.0256,0.0307,-0.0015,6.2
1Nmar,0.225,-0.0315,-0.012,0.0277,-0.021,6.3
1Nmar,0.226,-0.0263,-0.0038,0.0217,-0.021,6.3
1Nmar,0.227,-0.0105,-0.0008,0.0202,-0.0075,6.3
1Nmar,0.228,0.0007,-0.0083,0.024,0.0067,6.4
1Nmar,0.229,0.009,-0.0143,0.0195,0.018,6.4
1Nmar,0.23,0.009,-0.0091,0.0112,0.0067,6.5
1Nmar,0.231,0.0135,-0.0091,0.0075,-0.0046,6.6
1Nmar,0.232,0.0165,-0.0068,0.0045,-0.0015,6.6
1Nmar,0.233,0.0097,-0.0046,0.009,-0.012,6.7
1Nmar,0.234,0.0007,-0.0053,0.0195,-0.024,6.7
1Nmar,0.235,-0.0046,-0.0038,0.0247,-0.0263,6.7
1Nmar,0.236,-0.0075,-0.0008,0.0217,-0.03,6.8
1Nmar,0.237,-0.0075,0.0015,0.0082,-0.024,6.9
1Nmar,0.238,-0.015,-0.0046,-0.0105,-0.0158,6.9
1Nmar,0.239,-0.0323,-0.0046,-0.0338,-0.0105,7.0
1Nmar,0.24,-0.0473,0.0075,-0.0465,-0.0068,7.0
1Nmar,0.241,-0.0525,0.0217,-0.0413,-0.0083,7.1
1Nmar,0.242,-0.039,0.0292,-0.0353,-0.0075,7.1
1Nmar,0.243,-0.0181,0.0232,-0.0353,-0.0068,7.1
1Nmar,0.244,-0.0023,0.0225,-0.0285,-0.0046,7.1
1Nmar,0.245,0.0202,0.0225,-0.0181,-0.0083,7.2
1Nmar,0.246,0.0352,0.0165,-0.0046,-0.012,7.2
1Nmar,0.247,0.0457,0.0082,0.0045,-0.0098,7.2
1Nmar,0.248,0.06,0.006,0.0105,0.0015,7.2
1Nmar,0.249,0.0577,0.0112,0.0217,0.0232,7.2
1Nmar,0.25,0.0427,0.0075,0.039,0.0277,7.3
1Nmar,0.251,0.0232,-0.003,0.0495,0.0105,7.3
1Nmar,0.252,0.0112,-0.012,0.0352,-0.0098,7.3
1Nmar,0.253,0.0037,-0.0128,0.0375,-0.0203,7.4
1Nmar,0.254,-0.0173,-0.0105,0.0465,-0.0165,7.4
1Nmar,0.255,-0.0293,-0.0046,0.0367,-0.0046,7.4
1Nmar,0.256,-0.0195,0.0022,0.0352,0.0105,7.5
1Nmar,0.257,-0.0015,0.006,0.0315,0.0217,7.5
1Nmar,0.258,0.0135,0.0022,0.033,0.0165,7.5
1Nmar,0.259,0.0045,-0.0068,0.0277,0.0022,7.5
1Nmar,0.26,-0.0046,-0.0098,0.0217,-0.0053,7.6
1Nmar,0.261,0.0037,-0.012,0.027,-0.012,7.6
1Nmar,0.262,0.0105,-0.0105,0.0195,-0.0173,7.6
1Nmar,0.263,0.018,-0.0068,0.012,-0.0315,7.7
1Nmar,0.264,0.0172,-0.003,0.0105,-0.057,7.7
1Nmar,0.265,0.012,0.0022,0.0157,-0.0533,7.8
1Nmar,0.266,0.0007,0.0015,0.0247,-0.0315,7.8
1Nmar,0.267,-0.0105,0.0037,0.0367,-0.021,7.9
1Nmar,0.268,-0.0181,0.009,0.0307,-0.003,7.9
1Nmar,0.269,-0.0233,0.009,0.0127,0.0352,8.0
1Nmar,0.27,-0.0203,0.0045,0.0105,0.0682,8.1
1Nmar,0.271,-0.0225,-0.0023,0.0142,0.0697,8.1
1Nmar,0.272,-0.033,-0.0091,0.0157,0.0592,8.1
1Nmar,0.273,-0.042,-0.0158,0.0007,0.0577,8.2
1Nmar,0.274,-0.042,-0.0195,-0.0105,0.0457,8.2
1Nmar,0.275,-0.027,-0.0203,-0.0203,0.0307,8.3
1Nmar,0.276,-0.0091,-0.0195,-0.0165,0.0277,8.3
1Nmar,0.277,0.0015,-0.0135,-0.0128,0.0142,8.4
1Nmar,0.278,0.0067,-0.0128,-0.0203,-0.0023,8.4
1Nmar,0.279,0.0052,-0.0165,-0.0218,-0.012,8.5
1Nmar,0.28,0.0045,-0.0165,-0.0248,-0.0188,8.5
1Nmar,0.281,0.003,-0.0091,-0.0225,-0.0188,8.6
1Nmar,0.282,-0.0015,0.0007,-0.03,-0.0143,8.8
1Nmar,0.283,-0.0143,0.003,-0.0233,-0.0068,8.9
1Nmar,0.284,-0.0165,0.0007,-0.0195,-0.0046,9.0
1Nmar,0.285,-0.0075,0.0045,-0.021,-0.0075,9.2
1Nmar,0.286,-0.0098,0.006,-0.0128,-0.0053,9.3
1Nmar,0.287,-0.024,0.0075,-0.0128,-0.0091,9.4
1Nmar,0.288,-0.0293,0.0105,-0.0068,-0.0128,9.6
1Nmar,0.289,-0.0135,0.012,-0.0015,-0.0128,9.7
1Nmar,0.29,-0.0091,0.0067,0.0052,-0.0128,9.9
1Nmar,0.291,-0.0008,0.0045,0.0142,-0.0113,10.0
1Nmar,0.292,0.024,0.0067,0.012,-0.0046,10.1
1Nmar,0.293,0.039,0.0082,0.0052,0.0022,10.3
1Nmar,0.294,0.0532,0.0105,0.0105,0.0052,10.4
1Nmar,0.295,0.0555,0.0082,0.006,0.0037,10.5
1Nmar,0.296,0.0607,0.0007,0.0015,-0.0068,10.7
1Nmar,0.297,0.0705,-0.0038,0.0127,-0.0181,10.8
1Nmar,0.298,0.0622,-0.0015,0.0135,-0.0233,10.9
1Nmar,0.299,0.0232,-0.0015,0.0067,-0.0203,11.1
1Nmar,0.3,-0.0203,-0.006,-0.0068,-0.0158,11.2
1Nmar,0.301,-0.0346,-0.0046,-0.0143,-0.012,11.4
1Nmar,0.302,-0.0293,0.0015,-0.0195,-0.0053,11.5
1Nmar,0.303,-0.0143,0.0105,-0.0308,-0.0053,11.7
1Nmar,0.304,-0.0098,0.012,-0.0398,-0.0143,11.9
1Nmar,0.305,-0.0015,0.0105,-0.0405,-0.024,12.1
1Nmar,0.306,0.0067,0.0142,-0.0315,-0.0278,12.2
1Nmar,0.307,-0.0023,0.0105,-0.0308,-0.012,12.4
1Nmar,0.308,-0.012,0.003,-0.0285,0.0082,12.6
1Nmar,0.309,-0.0181,-0.0008,-0.0218,0.0232,12.7
1Nmar,0.31,-0.0143,0.0015,-0.0128,0.0435,12.9
1Nmar,0.311,-0.0113,-0.0008,-0.0173,0.0405,13.0
1Nmar,0.312,-0.0091,-0.0046,-0.0195,0.0225,13.2
1Nmar,0.313,-0.0038,-0.0008,-0.015,0.0067,13.4
1Nmar,0.314,0.0015,0.0007,-0.0233,-0.0046,13.5
1Nmar,0.315,0.009,0.006,-0.027,-0.0046,13.7
1Nmar,0.316,0.009,0.0082,-0.0256,-0.0068,13.9
1Nmar,0.317,0.0097,0.0052,-0.0233,-0.0083,14.1
1Nmar,0.318,0.012,0.0052,-0.0195,-0.006,14.3
1Nmar,0.319,0.0127,0.0045,-0.0128,-0.0053,14.4
1Nmar,0.32,0.0097,0.003,-0.0075,-0.0046,14.6
1Nmar,0.321,0.0015,-0.0015,-0.0098,-0.0068,14.6
1Nmar,0.322,0.0052,-0.0015,-0.0128,-0.0091,14.7
1Nmar,0.323,0.0135,0.0015,-0.0113,-0.0113,14.8
1Nmar,0.324,0.018,0.0037,-0.0015,-0.0091,14.8
1Nmar,0.325,0.0217,0.0052,0.0037,-0.0083,14.9
1Nmar,0.326,0.018,0.0045,0.0022,-0.0158,14.9
1Nmar,0.327,0.015,0.0015,0.0,-0.021,15.0
1Nmar,0.328,0.0202,0.0015,-0.0008,-0.0158,15.0
1Nmar,0.329,0.018,0.003,-0.0008,-0.0075,15.1
1Nmar,0.33,0.0015,0.0022,0.0,0.0007,15.2
1Nmar,0.331,-0.0113,-0.0008,0.0022,0.018,15.2
1Nmar,0.332,-0.0158,-0.003,0.0,0.0277,15.3
1Nmar,0.333,-0.0195,-0.0046,0.0015,0.0217,15.3
1Nmar,0.334,-0.027,-0.0075,0.0097,0.012,15.4
1Nmar,0.335,-0.027,-0.0068,0.0195,0.0015,15.5
1Nmar,0.336,-0.0188,-0.0083,0.024,-0.0053,15.5
1Nmar,0.337,-0.0008,-0.0091,0.0225,-0.0023,15.6
1Nmar,0.338,0.0165,-0.0053,0.024,0.0,15.6
1Nmar,0.339,0.018,-0.0038,0.0247,0.0015,15.7
1Nmar,0.34,0.0202,-0.0008,0.03,0.0037,15.7
1Nmar,0.341,0.027,-0.0008,0.0345,0.0037,15.7
1Nmar,0.342,0.024,-0.0038,0.033,0.0045,15.6
1Nmar,0.343,0.0142,-0.0083,0.0345,0.0052,15.4
1Nmar,0.344,-0.0008,-0.0143,0.0345,0.0037,15.3
1Nmar,0.345,-0.0128,-0.0165,0.033,0.0045,15.2
1Nmar,0.346,-0.0143,-0.0158,0.0277,0.0067,15.1
1Nmar,0.347,-0.0128,-0.0143,0.0292,0.006,14.9
1Nmar,0.348,-0.012,-0.0128,0.0232,0.0052,14.8
1Nmar,0.349,-0.0113,-0.0091,0.015,0.0067,14.7
1Nmar,0.35,-0.012,-0.0023,0.0225,0.0082,14.6
1Nmar,0.351,-0.0105,0.0105,0.0225,0.009,14.4
1Nmar,0.352,-0.0105,0.0307,0.0195,0.0097,14.4
1Nmar,0.353,-0.0083,0.0382,0.0232,0.009,14.2
1Nmar,0.354,-0.0075,0.0225,0.0187,0.0067,14.1
1Nmar,0.355,-0.006,0.006,0.0165,0.0052,13.9
1Nmar,0.356,-0.0053,0.0,0.0105,0.003,13.9
1Nmar,0.357,-0.0068,-0.0046,0.0015,0.0015,13.7
1Nmar,0.358,-0.0038,-0.0046,-0.0068,0.0007,13.6
1Nmar,0.359,-0.003,-0.0046,-0.0113,0.0007,13.5
1Nmar,0.36,-0.0023,-0.0053,-0.0091,0.0015,13.3
1Nmar,0.361,-0.003,-0.0053,-0.0053,0.0007,13.3
1Nmar,0.362,-0.0068,-0.0038,-0.0015,0.0022,13.2
1Nmar,0.363,-0.006,-0.003,-0.0015,0.003,13.1
1Nmar,0.364,-0.0068,-0.0046,-0.0015,0.0045,13.1
1Nmar,0.365,-0.003,-0.003,-0.0008,0.0052,13.0
1Nmar,0.366,0.0015,-0.0023,-0.0053,0.0015,13.0
1Nmar,0.367,0.0052,-0.0008,-0.0113,0.0,12.9
1Nmar,0.368,0.0082,-0.0015,-0.0068,-0.0008,12.8
1Nmar,0.369,0.0105,-0.0046,0.0075,0.0007,12.7
1Nmar,0.37,0.0075,-0.006,0.0127,0.0007,12.6
1Nmar,0.371,0.0052,-0.0053,0.0135,-0.0008,12.6
1Nmar,0.372,0.0,-0.006,0.0157,0.0,12.5
1Nmar,0.373,-0.0068,-0.006,0.009,0.0007,12.5
1Nmar,0.374,-0.0046,-0.0046,0.0067,-0.0015,12.4
1Nmar,0.375,-0.006,-0.0053,0.0127,-0.0023,12.3
1Nmar,0.376,-0.0091,-0.0046,0.024,0.0007,12.2
1Nmar,0.377,-0.012,-0.0053,0.0262,0.0,12.2
1Nmar,0.378,-0.015,-0.0046,0.024,-0.0008,12.1
1Nmar,0.379,-0.015,-0.003,0.0217,-0.0015,12.1
1Nmar,0.38,-0.0143,-0.0046,0.0172,-0.0015,11.9
1Nmar,0.381,-0.0128,-0.003,0.0135,-0.003,12.0
1Nmar,0.382,-0.0128,-0.0023,0.0037,-0.0046,12.0
1Nmar,0.383,-0.0128,-0.0015,0.0022,-0.0023,12.1
1Nmar,0.384,-0.0083,0.0,0.0037,-0.0015,12.1
1Nmar,0.385,-0.003,-0.0008,0.003,-0.0015,12.1
1Nmar,0.386,0.0007,-0.0008,0.0007,-0.0023,12.2
1Nmar,0.387,0.0015,-0.0008,-0.0046,-0.0023,12.2
1Nmar,0.388,-0.0008,-0.0023,-0.0015,-0.0038,12.3
1Nmar,0.389,-0.0015,-0.003,0.003,-0.0053,12.3
1Nmar,0.39,-0.0038,-0.0008,0.009,-0.003,12.4
1Nmar,0.391,0.0,0.0022,-0.0008,-0.0053,12.4
1Nmar,0.392,0.006,0.0045,-0.0068,-0.006,12.5
1Nmar,0.393,0.0075,0.0015,0.0052,-0.003,12.5
1Nmar,0.394,0.0082,-0.0008,0.0105,-0.0015,12.6
